"productId","product","workload","perturbation","topologyPresent","loadRate","activationRate","activeTrials","impactedTrials","qHatConditionalOnActive","piHat","impactType"
"P1","Express","EXPRESS_DEPRECATED_REDIRECT_NO_URL","BASELINE","1","1","1","5","0","0","0","NONE"
"P1","Express","EXPRESS_DEPRECATED_REDIRECT_NO_URL","CORRUPT_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_CORRUPTION"
"P1","Express","EXPRESS_DEPRECATED_REDIRECT_NO_URL","DELAY_WARNING","1","1","1","5","5","1","1","LATENCY"
"P1","Express","EXPRESS_DEPRECATED_REDIRECT_NO_URL","DROP_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_DROP"
"P1","Express","EXPRESS_DEPRECATED_REDIRECT_NO_URL","DUPLICATE_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_DUPLICATION"
"P1","Express","EXPRESS_NORMAL_REDIRECT","BASELINE","1","1","0","0","0","","0","NONE"
"P1","Express","EXPRESS_NORMAL_REDIRECT","CORRUPT_WARNING","1","1","0","0","0","","0","NONE"
"P1","Express","EXPRESS_NORMAL_REDIRECT","DELAY_WARNING","1","1","0","0","0","","0","NONE"
"P1","Express","EXPRESS_NORMAL_REDIRECT","DROP_WARNING","1","1","0","0","0","","0","NONE"
"P1","Express","EXPRESS_NORMAL_REDIRECT","DUPLICATE_WARNING","1","1","0","0","0","","0","NONE"
"P1","Express","EXPRESS_REQUIRE_ONLY","BASELINE","1","1","0","0","0","","0","NONE"
"P1","Express","EXPRESS_REQUIRE_ONLY","CORRUPT_WARNING","1","1","0","0","0","","0","NONE"
"P1","Express","EXPRESS_REQUIRE_ONLY","DELAY_WARNING","1","1","0","0","0","","0","NONE"
"P1","Express","EXPRESS_REQUIRE_ONLY","DROP_WARNING","1","1","0","0","0","","0","NONE"
"P1","Express","EXPRESS_REQUIRE_ONLY","DUPLICATE_WARNING","1","1","0","0","0","","0","NONE"
"P2","express-session","SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED","BASELINE","1","1","1","5","0","0","0","NONE"
"P2","express-session","SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED","CORRUPT_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_CORRUPTION"
"P2","express-session","SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED","DELAY_WARNING","1","1","1","5","5","1","1","LATENCY"
