node,products,productCount,rho
debug@2.6.9,P2;P3;P4;P5,4,0.6666666666666666
ms@2.0.0,P2;P3;P4;P5,4,0.6666666666666666
cookie@0.7.2,P1;P2;P6,3,0.5
depd@2.0.0,P1;P2;P3,3,0.5
ee-first@1.1.1,P1;P3;P4,3,0.5
parseurl@1.3.3,P1;P2;P4,3,0.5
vary@1.1.2,P1;P5;P6,3,0.5
accepts@1.3.8,P5;P6,2,0.3333333333333333
debug@4.4.3,P1;P6,2,0.3333333333333333
escape-html@1.0.3,P1;P4,2,0.3333333333333333
mime-db@1.52.0,P5;P6,2,0.3333333333333333
mime-db@1.54.0,P1;P5,2,0.3333333333333333
mime-types@2.1.35,P5;P6,2,0.3333333333333333
ms@2.1.3,P1;P6,2,0.3333333333333333
negotiator@0.6.3,P5;P6,2,0.3333333333333333
on-finished@2.4.1,P1;P3,2,0.3333333333333333
on-headers@1.1.0,P2;P3,2,0.3333333333333333
safe-buffer@5.1.2,P3;P5,2,0.3333333333333333
unpipe@1.0.0,P1;P4,2,0.3333333333333333
