edgeId,edge,activationMechanism,productId,productName,workload,config,perturbation,T_e,alpha_e,q_e,pi_e,impactType
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P2,express-session,,ACTIVE_COLORS_ON,BASELINE,1,1,0,0,NONE
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P2,express-session,,ACTIVE_COLORS_ON,CORRUPT_HUMANIZE,1,1,1,1,OBSERVABILITY_CORRUPTION
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P2,express-session,,ACTIVE_COLORS_ON,DELAY_HUMANIZE,1,1,1,1,LATENCY
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P2,express-session,,ACTIVE_COLORS_ON,EMPTY_HUMANIZE,1,1,1,1,OBSERVABILITY_SUPPRESSION
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P2,express-session,,INACTIVE_COLORS_OFF,BASELINE,1,0,,0,NONE
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P2,express-session,,INACTIVE_COLORS_OFF,CORRUPT_HUMANIZE,1,0,,0,NONE
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P2,express-session,,INACTIVE_COLORS_OFF,DELAY_HUMANIZE,1,0,,0,NONE
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P2,express-session,,INACTIVE_COLORS_OFF,EMPTY_HUMANIZE,1,0,,0,NONE
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P3,Morgan,,ACTIVE_COLORS_ON,BASELINE,1,1,0,0,NONE
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P3,Morgan,,ACTIVE_COLORS_ON,CORRUPT_HUMANIZE,1,1,1,1,OBSERVABILITY_CORRUPTION
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P3,Morgan,,ACTIVE_COLORS_ON,DELAY_HUMANIZE,1,1,1,1,LATENCY
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P3,Morgan,,ACTIVE_COLORS_ON,EMPTY_HUMANIZE,1,1,1,1,OBSERVABILITY_SUPPRESSION
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P3,Morgan,,INACTIVE_COLORS_OFF,BASELINE,1,0,,0,NONE
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P3,Morgan,,INACTIVE_COLORS_OFF,CORRUPT_HUMANIZE,1,0,,0,NONE
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P3,Morgan,,INACTIVE_COLORS_OFF,DELAY_HUMANIZE,1,0,,0,NONE
E1,debug@2.6.9 -> ms@2.0.0,configuration-conditioned (DEBUG enabled + color formatting enabled),P3,Morgan,,INACTIVE_COLORS_OFF,EMPTY_HUMANIZE,1,0,,0,NONE
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P1,Express,EXPRESS_SIMPLE_SEND,,BASELINE,1,0,,0,NONE
