pathId,path,context,perturbation,trials,edge1ActivationRate,edge2ActivationRate,alphaPath,pathActiveTrials,impactedTrials,qPathConditionalOnActive,piPathDirect,piPathModel,piAbsoluteDifference,medianElapsedMs,meanElapsedDeltaMs,uniqueStatusCodes,impactType
PA,morgan@1.12.1 -> debug@2.6.9 -> ms@2.0.0,INACTIVE_COLORS_OFF,BASELINE,5,1,0,0,0,0,,0,0,0,25.0865,0.21995999999999966,200,NONE
PA,morgan@1.12.1 -> debug@2.6.9 -> ms@2.0.0,INACTIVE_COLORS_OFF,CORRUPT_HUMANIZE,5,1,0,0,0,0,,0,0,0,25.9008,1.9154799999999994,200,NONE
PA,morgan@1.12.1 -> debug@2.6.9 -> ms@2.0.0,INACTIVE_COLORS_OFF,EMPTY_HUMANIZE,5,1,0,0,0,0,,0,0,0,26.7197,3.772419999999998,200,NONE
PA,morgan@1.12.1 -> debug@2.6.9 -> ms@2.0.0,INACTIVE_COLORS_OFF,DELAY_HUMANIZE,5,1,0,0,0,0,,0,0,0,24.9032,0.11273999999999802,200,NONE
PA,morgan@1.12.1 -> debug@2.6.9 -> ms@2.0.0,ACTIVE_COLORS_ON,BASELINE,5,1,1,1,5,0,0,0,0,0,25.4439,0.6822600000000001,200,NONE
PA,morgan@1.12.1 -> debug@2.6.9 -> ms@2.0.0,ACTIVE_COLORS_ON,CORRUPT_HUMANIZE,5,1,1,1,5,5,1,1,1,0,26.8533,1.4100200000000007,200,OBSERVABILITY_CORRUPTION
PA,morgan@1.12.1 -> debug@2.6.9 -> ms@2.0.0,ACTIVE_COLORS_ON,EMPTY_HUMANIZE,5,1,1,1,5,5,1,1,1,0,25.9617,1.515440000000001,200,OBSERVABILITY_SUPPRESSION
PA,morgan@1.12.1 -> debug@2.6.9 -> ms@2.0.0,ACTIVE_COLORS_ON,DELAY_HUMANIZE,5,1,1,1,5,5,1,1,1,0,76.4247,51.30816,200,LATENCY
PB,morgan@1.12.1 -> on-finished@2.4.1 -> ee-first@1.1.1,MORGAN_IMMEDIATE_REQUEST,BASELINE,5,0,0,0,0,0,,0,0,0,74.1516,4.946439999999998,200,NONE
PB,morgan@1.12.1 -> on-finished@2.4.1 -> ee-first@1.1.1,MORGAN_IMMEDIATE_REQUEST,DROP_COMPLETION,5,0,0,0,0,0,,0,0,0,71.693,-0.7670199999999994,200,NONE
PB,morgan@1.12.1 -> on-finished@2.4.1 -> ee-first@1.1.1,MORGAN_IMMEDIATE_REQUEST,CORRUPT_ERROR,5,0,0,0,0,0,,0,0,0,79.4598,3.3357,200,NONE
PB,morgan@1.12.1 -> on-finished@2.4.1 -> ee-first@1.1.1,MORGAN_IMMEDIATE_REQUEST,DELAY_COMPLETION,5,0,0,0,0,0,,0,0,0,78.4162,3.185639999999998,200,NONE
PB,morgan@1.12.1 -> on-finished@2.4.1 -> ee-first@1.1.1,MORGAN_NORMAL_REQUEST,BASELINE,5,1,1,1,5,0,0,0,0,0,78.509,0.17153999999999883,200,NONE
PB,morgan@1.12.1 -> on-finished@2.4.1 -> ee-first@1.1.1,MORGAN_NORMAL_REQUEST,DROP_COMPLETION,5,1,1,1,5,5,1,1,1,0,77.0375,-2.2240999999999986,200,COMPLETION_SUPPRESSION
PB,morgan@1.12.1 -> on-finished@2.4.1 -> ee-first@1.1.1,MORGAN_NORMAL_REQUEST,CORRUPT_ERROR,5,1,1,1,5,5,1,1,1,0,70.2913,-7.560159999999999,200,ERROR_CORRUPTION
PB,morgan@1.12.1 -> on-finished@2.4.1 -> ee-first@1.1.1,MORGAN_NORMAL_REQUEST,DELAY_COMPLETION,5,1,1,1,5,5,1,1,1,0,128.3113,50.20888,200,LATENCY
