productId,product,workload,perturbation,T_e,L_o,O,L_e,A_e_activation_experiment,A_e_perturbation_experiment,C_parent_callback_rate,q_hat_conditional_on_active,pi_hat_model,pi_hat_direct,impactType,statusCodes,activationDifference,piDifference
P1,Express,EXPRESS_SIMPLE_SEND,BASELINE,1,1,0,1,0,0,0,,0,0,NONE,200,0,0
P1,Express,EXPRESS_SIMPLE_SEND,DROP_COMPLETION,1,1,0,1,0,0,0,,0,0,NONE,200,0,0
P1,Express,EXPRESS_SIMPLE_SEND,CORRUPT_ERROR,1,1,0,1,0,0,0,,0,0,NONE,200,0,0
P1,Express,EXPRESS_SIMPLE_SEND,DELAY_COMPLETION,1,1,0,1,0,0,0,,0,0,NONE,200,0,0
P1,Express,EXPRESS_SEND_FILE,BASELINE,1,1,1,1,1,1,1,0,0,0,NONE,200,0,0
P1,Express,EXPRESS_SEND_FILE,DROP_COMPLETION,1,1,1,1,1,1,0,1,1,1,COMPLETION_SUPPRESSION,200,0,0
P1,Express,EXPRESS_SEND_FILE,CORRUPT_ERROR,1,1,1,1,1,1,1,1,1,1,ERROR_CORRUPTION,200,0,0
P1,Express,EXPRESS_SEND_FILE,DELAY_COMPLETION,1,1,1,1,1,1,1,1,1,1,LATENCY,200,0,0
P3,Morgan,MORGAN_NORMAL_REQUEST,BASELINE,1,1,1,1,1,1,1,0,0,0,NONE,200,0,0
P3,Morgan,MORGAN_NORMAL_REQUEST,DROP_COMPLETION,1,1,1,1,1,1,0,1,1,1,COMPLETION_SUPPRESSION,200,0,0
P3,Morgan,MORGAN_NORMAL_REQUEST,CORRUPT_ERROR,1,1,1,1,1,1,1,1,1,1,ERROR_CORRUPTION,200,0,0
P3,Morgan,MORGAN_NORMAL_REQUEST,DELAY_COMPLETION,1,1,1,1,1,1,1,1,1,1,LATENCY,200,0,0
P3,Morgan,MORGAN_IMMEDIATE_REQUEST,BASELINE,1,1,0,1,0,0,0,,0,0,NONE,200,0,0
P3,Morgan,MORGAN_IMMEDIATE_REQUEST,DROP_COMPLETION,1,1,0,1,0,0,0,,0,0,NONE,200,0,0
P3,Morgan,MORGAN_IMMEDIATE_REQUEST,CORRUPT_ERROR,1,1,0,1,0,0,0,,0,0,NONE,200,0,0
P3,Morgan,MORGAN_IMMEDIATE_REQUEST,DELAY_COMPLETION,1,1,0,1,0,0,0,,0,0,NONE,200,0,0
