"productId","product","configuration","perturbation","topologyPresent","edgeLoadRate","parentCallRate","enabledExecutionRate","edgeActivationRate","activeTrials","impactedTrials","qHatConditionalOnActive","piHat","impactType"
"P2","express-session","ACTIVE_COLORS_ON","BASELINE","1","1","1","1","1","5","0","0","0","NONE"
"P2","express-session","ACTIVE_COLORS_ON","CORRUPT_HUMANIZE","1","1","1","1","1","5","5","1","1","OBSERVABILITY_CORRUPTION"
"P2","express-session","ACTIVE_COLORS_ON","DELAY_HUMANIZE","1","1","1","1","1","5","5","1","1","LATENCY"
"P2","express-session","ACTIVE_COLORS_ON","EMPTY_HUMANIZE","1","1","1","1","1","5","5","1","1","OBSERVABILITY_SUPPRESSION"
"P2","express-session","INACTIVE_COLORS_OFF","BASELINE","1","1","1","1","0","0","0","","0","NONE"
"P2","express-session","INACTIVE_COLORS_OFF","CORRUPT_HUMANIZE","1","1","1","1","0","0","0","","0","NONE"
"P2","express-session","INACTIVE_COLORS_OFF","DELAY_HUMANIZE","1","1","1","1","0","0","0","","0","NONE"
"P2","express-session","INACTIVE_COLORS_OFF","EMPTY_HUMANIZE","1","1","1","1","0","0","0","","0","NONE"
"P3","Morgan","ACTIVE_COLORS_ON","BASELINE","1","1","1","1","1","5","0","0","0","NONE"
"P3","Morgan","ACTIVE_COLORS_ON","CORRUPT_HUMANIZE","1","1","1","1","1","5","5","1","1","OBSERVABILITY_CORRUPTION"
"P3","Morgan","ACTIVE_COLORS_ON","DELAY_HUMANIZE","1","1","1","1","1","5","5","1","1","LATENCY"
"P3","Morgan","ACTIVE_COLORS_ON","EMPTY_HUMANIZE","1","1","1","1","1","5","5","1","1","OBSERVABILITY_SUPPRESSION"
"P3","Morgan","INACTIVE_COLORS_OFF","BASELINE","1","1","1","1","0","0","0","","0","NONE"
"P3","Morgan","INACTIVE_COLORS_OFF","CORRUPT_HUMANIZE","1","1","1","1","0","0","0","","0","NONE"
"P3","Morgan","INACTIVE_COLORS_OFF","DELAY_HUMANIZE","1","1","1","1","0","0","0","","0","NONE"
"P3","Morgan","INACTIVE_COLORS_OFF","EMPTY_HUMANIZE","1","1","1","1","0","0","0","","0","NONE"
