componentId,componentType,component,activationMechanism,productId,product,workload,configuration,contextKey,perturbation,topologyPresent,loadRate,activationRate,qHatConditionalOnActive,piHat,activeTrials,impactedTrials,impactType
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_DEPRECATED_REDIRECT_NO_URL,,P1::workload=EXPRESS_DEPRECATED_REDIRECT_NO_URL,BASELINE,1,1,1,0,0,5,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_DEPRECATED_REDIRECT_NO_URL,,P1::workload=EXPRESS_DEPRECATED_REDIRECT_NO_URL,CORRUPT_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_CORRUPTION
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_DEPRECATED_REDIRECT_NO_URL,,P1::workload=EXPRESS_DEPRECATED_REDIRECT_NO_URL,DELAY_WARNING,1,1,1,1,1,5,5,LATENCY
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_DEPRECATED_REDIRECT_NO_URL,,P1::workload=EXPRESS_DEPRECATED_REDIRECT_NO_URL,DROP_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_DROP
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_DEPRECATED_REDIRECT_NO_URL,,P1::workload=EXPRESS_DEPRECATED_REDIRECT_NO_URL,DUPLICATE_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_DUPLICATION
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_NORMAL_REDIRECT,,P1::workload=EXPRESS_NORMAL_REDIRECT,BASELINE,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_NORMAL_REDIRECT,,P1::workload=EXPRESS_NORMAL_REDIRECT,CORRUPT_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_NORMAL_REDIRECT,,P1::workload=EXPRESS_NORMAL_REDIRECT,DELAY_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_NORMAL_REDIRECT,,P1::workload=EXPRESS_NORMAL_REDIRECT,DROP_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_NORMAL_REDIRECT,,P1::workload=EXPRESS_NORMAL_REDIRECT,DUPLICATE_WARNING,1,1,0,,0,0,0,NONE
